,ID,UUID,Trip ID,Comment,Rate,Created At,Updated At,User Old ID,Trip Old ID,Classe,Comms,Length,Tokens
0,19469,5f090183-575f-4b68-bfd8-8ca64e271f60,,Sans assistance électrique ,1.0,2021-09-26T11:30:17.535Z,2021-09-26T11:30:17.535Z,60d193e09485da0e5c6c5c51,6150591710168f3d48342d26,Technique,sans assistance electrique ,27,"['sans', 'assistance', 'electrique']"
1,19487,79fa4190-76bd-4b48-a6aa-c22b1f5f9355,,Pas de frein arrière ,3.0,2021-09-26T14:01:24.832Z,2021-09-26T14:01:24.832Z,608156dcdeb7eb746a8b7ba0,61507aff10168f3d483c51c9,Technique,pas de frein arriere ,21,"['pas', 'de', 'frein', 'arriere']"
2,31714,7ff43434-065d-4a08-83b2-9a6077c9d0a3,49934.0,Ct génial,0.0,2022-02-21T16:43:55.149001Z,2022-02-21T16:43:55.149001Z,,,Pas technique,ct genial,9,"['ct', 'genial']"
3,31956,737320b2-0e91-42fa-9f48-3e651b453e02,50342.0,Marche pas ,0.0,2022-02-25T12:28:03.504405Z,2022-02-25T12:28:03.504405Z,,;;;;;;;;;;;;;;;;;,,marche pas ,11,"['marche', 'pas']"
4,32873,1d83eae9-2658-4cee-9afe-6f4824d3ec47,51909.0,Vélo très bien mais « vélo rue » du Borrigo avec revêtement très abîmé et dangereux,3.0,2022-03-09T09:26:07.593932Z,2022-03-09T09:26:07.593932Z,,,Pas technique,velo tres bien mais  velo rue  du borrigo avec revetement tres abime et dangereux,83,"['velo', 'tres', 'bien', 'mais', 'velo', 'rue', 'du', 'borrigo', 'avec', 'revetement', 'tres', 'abime', 'et', 'dangereux']"
5,19529,3e5191b2-fe94-4914-9288-9d5c33bbb148,,Cool,4.0,2021-09-26T21:09:13.003Z,2021-09-26T21:09:13.003Z,612b5b8cdcb3f875961f7c1b,6150dfb310168f3d4858990c,Pas technique,cool,4,['cool']
6,24017,fe240ed7-2971-4358-9cea-ae5363a7f38d,38436.0,Frein arrière hs,4.0,2021-10-28T15:02:50.755565Z,2021-10-28T15:02:50.755565Z,,,Technique,frein arriere hs,16,"['frein', 'arriere', 'hs']"
7,19535,0fd4b165-a07b-474a-b3cd-10f4d2d17dbb,,C était bien,5.0,2021-09-26T22:24:28.633Z,2021-09-26T22:24:28.633Z,612b8007dcb3f8759630cf77,6150ce4810168f3d4856579d,Pas technique,c etait bien,12,"['c', 'etait', 'bien']"
8,19537,5cdeb8ac-7b75-45e1-b607-7a2e7bef7569,,il marche pas non plus,5.0,2021-09-26T22:26:38.462Z,2021-09-26T22:26:38.462Z,60f5e974dcb3f875960b1da2,6150f30f10168f3d485c0605;;;;;;;;;;;;;;;;;,,il marche pas non plus,22,"['il', 'marche', 'pas', 'non', 'plus']"
9,19542,32744fb6-37bc-41c6-9794-4489b5a3b1be,,Uper,5.0,2021-09-26T23:12:57.249Z,2021-09-26T23:12:57.249Z,612b8007dcb3f8759630cf77,6150f34110168f3d485c1066,Pas technique,uper,4,['uper']
